phase,time,confidence
P,2022-12-20T01:18:23.508400Z,0.172
P,2022-12-20T01:19:19.948400Z,0.105
P,2022-12-20T01:19:24.608400Z,0.141
P,2022-12-20T01:19:26.998400Z,0.127
P,2022-12-20T01:19:32.808400Z,0.798
P,2022-12-20T01:19:42.408400Z,0.930
P,2022-12-20T01:19:50.118400Z,0.192
P,2022-12-20T01:20:03.768400Z,0.135
P,2022-12-20T01:20:11.938400Z,0.852
P,2022-12-20T01:20:13.138400Z,0.179
P,2022-12-20T01:20:14.738400Z,0.328
P,2022-12-20T01:20:17.448400Z,0.408
P,2022-12-20T01:20:18.648400Z,0.506
P,2022-12-20T01:20:23.968400Z,0.318
P,2022-12-20T01:20:30.018400Z,0.799
P,2022-12-20T01:20:36.488400Z,0.653
P,2022-12-20T01:20:58.108400Z,0.968
P,2022-12-20T01:21:00.598400Z,0.119
P,2022-12-20T01:21:09.138400Z,0.107
P,2022-12-20T01:21:19.068400Z,0.362
P,2022-12-20T01:21:30.188400Z,0.161
P,2022-12-20T01:21:35.118400Z,0.464
P,2022-12-20T01:21:39.948400Z,0.211
P,2022-12-20T01:21:41.638400Z,0.501
P,2022-12-20T01:21:52.668400Z,0.628
P,2022-12-20T01:22:16.778400Z,0.915
P,2022-12-20T01:22:20.678400Z,0.148
P,2022-12-20T01:22:23.338400Z,0.798
P,2022-12-20T01:22:25.848400Z,0.294
P,2022-12-20T01:22:55.318400Z,0.172
P,2022-12-20T01:22:56.668400Z,0.549
P,2022-12-20T01:23:00.918400Z,0.105
P,2022-12-20T01:23:03.668400Z,0.943
P,2022-12-20T01:23:13.018400Z,0.227
P,2022-12-20T01:23:22.438400Z,0.314
P,2022-12-20T01:23:24.918400Z,0.822
P,2022-12-20T01:23:32.308400Z,0.665
P,2022-12-20T01:23:36.468400Z,0.826
P,2022-12-20T01:23:42.068400Z,0.945
P,2022-12-20T01:23:50.788400Z,0.126
P,2022-12-20T01:24:04.468400Z,0.107
P,2022-12-20T01:24:22.058400Z,0.193
P,2022-12-20T01:25:31.778400Z,0.323
P,2022-12-20T01:26:28.428400Z,0.175
