phase,peak_time,confidence
P,2022-12-20 17:41:40.760,0.8276951313018799
P,2022-12-20 17:42:07.740,0.8728835582733154
P,2022-12-20 17:44:09.140,0.2722266018390655
P,2022-12-20 17:45:59.620,0.9019060134887696
P,2022-12-20 17:48:18.300,0.9511019587516784
P,2022-12-20 17:49:30.750,0.4007421731948852
P,2022-12-20 17:50:53.570,0.934217095375061
P,2022-12-20 17:51:54.760,0.9386805295944214
P,2022-12-20 17:52:41.280,0.7081285715103149
P,2022-12-20 17:52:56.750,0.2582156360149383
P,2022-12-20 17:53:37.990,0.7063432335853577
P,2022-12-20 17:53:59.970,0.2249834537506103
P,2022-12-20 17:54:39.080,0.2569606304168701
P,2022-12-20 17:55:18.780,0.6852623224258423
P,2022-12-20 17:56:13.370,0.982885479927063
P,2022-12-20 17:58:54.170,0.942974328994751
P,2022-12-20 17:59:20.500,0.9167346358299256
P,2022-12-20 17:59:45.200,0.2275707423686981
P,2022-12-20 18:00:56.450,0.7391500473022461
P,2022-12-20 18:01:26.310,0.4529529511928558
P,2022-12-20 18:01:51.240,0.505811333656311
P,2022-12-20 18:02:29.230,0.3674265444278717
P,2022-12-20 18:02:51.170,0.8651078939437866
P,2022-12-20 18:03:45.760,0.9407111406326294
P,2022-12-20 18:04:24.140,0.8788833618164062
P,2022-12-20 18:06:54.930,0.8418827056884766
P,2022-12-20 18:07:22.380,0.2826516032218933
P,2022-12-20 18:07:38.990,0.9876673221588136
P,2022-12-20 18:08:25.100,0.7673779129981995
P,2022-12-20 18:09:07.580,0.9599698185920716
P,2022-12-20 18:09:55.490,0.9682604670524596
P,2022-12-20 18:10:48.250,0.2845265567302704
P,2022-12-20 18:11:21.440,0.8907448053359985
P,2022-12-20 18:12:04.830,0.8464508652687073
P,2022-12-20 18:13:17.220,0.5650289058685303
P,2022-12-20 18:13:44.200,0.747905969619751
P,2022-12-20 18:14:20.270,0.8233169317245483
P,2022-12-20 18:14:55.370,0.7145147919654846
P,2022-12-20 18:15:32.690,0.9796178936958312
P,2022-12-20 18:16:21.740,0.4762603640556335
P,2022-12-20 18:17:48.460,0.9658849239349364
P,2022-12-20 18:18:18.580,0.648779034614563
P,2022-12-20 18:18:33.170,0.916793167591095
P,2022-12-20 18:18:56.300,0.5064915418624878
P,2022-12-20 18:19:48.880,0.2831102609634399
P,2022-12-20 18:20:42.210,0.9682601690292358
P,2022-12-20 18:21:45.710,0.5720917582511902
P,2022-12-20 18:22:27.070,0.2657181918621063
P,2022-12-20 18:23:24.720,0.3844380378723144
P,2022-12-20 18:24:30.980,0.5722788572311401
P,2022-12-20 18:25:25.470,0.9735859632492064
P,2022-12-20 18:26:48.430,0.431619644165039
P,2022-12-20 18:27:03.500,0.2063658386468887
P,2022-12-20 18:27:07.650,0.6830127239227295
P,2022-12-20 18:27:52.160,0.6186885237693787
P,2022-12-20 18:29:43.420,0.7548537850379944
P,2022-12-20 18:30:42.430,0.8459075689315796
P,2022-12-20 18:31:46.090,0.2078383564949035
P,2022-12-20 18:33:00.790,0.9791492223739624
P,2022-12-20 18:34:07.150,0.9189611077308656
P,2022-12-20 18:34:54.990,0.5703603029251099
P,2022-12-20 18:35:55.480,0.9327324628829956
P,2022-12-20 18:37:05.130,0.2005347609519958
P,2022-12-20 18:38:52.490,0.5108563899993896
P,2022-12-20 18:39:35.570,0.7777908444404602
P,2022-12-20 18:39:57.480,0.7069756984710693
P,2022-12-20 18:40:37.330,0.9667184948921204
P,2022-12-20 18:40:59.900,0.5386679768562317
P,2022-12-20 18:41:22.570,0.386686623096466
P,2022-12-20 18:44:59.430,0.981296181678772
P,2022-12-20 18:46:48.190,0.5545502305030823
P,2022-12-20 18:46:49.250,0.3529551327228546
P,2022-12-20 18:47:25.820,0.9736895561218262
P,2022-12-20 18:48:24.120,0.974331557750702
P,2022-12-20 18:49:02.510,0.9098695516586304
P,2022-12-20 18:50:33.320,0.8413271903991699
P,2022-12-20 18:51:14.530,0.4469060897827148
P,2022-12-20 18:51:58.480,0.3504316210746765
P,2022-12-20 18:53:17.310,0.2702010571956634
P,2022-12-20 18:56:25.870,0.9015120267868042
P,2022-12-20 18:57:21.240,0.6946632862091064
P,2022-12-20 18:57:44.390,0.9715948104858398
P,2022-12-20 18:58:06.690,0.3312706649303436
P,2022-12-20 18:59:06.580,0.9166894555091858
