start,target,sample_min,max_range,num_gaps,sample_unique,percent_availability
1982-08-10,UW.MBW..EHZ.M,-291.0,,4.0,263.0,0.355
1982-07-02,UW.MBW..EHZ.M,-329.0,,4.0,268.0,0.213
1982-07-06,UW.MBW..EHZ.M,-2048.0,,3.0,257.0,0.166
1982-07-27,UW.MBW..EHZ.M,-525.0,,10.0,546.0,0.941
1982-08-24,UW.MBW..EHZ.M,0.0,302.0,2.0,164.0,0.041
1982-07-31,UW.MBW..EHZ.M,-2.0,,3.0,244.0,0.101
1982-08-04,UW.MBW..EHZ.M,-298.0,,4.0,148.0,0.261
1982-07-19,UW.MBW..EHZ.M,-313.0,,9.0,364.0,0.539
1982-07-07,UW.MBW..EHZ.M,-276.0,,4.0,261.0,0.201
1982-08-19,UW.MBW..EHZ.M,-371.0,,5.0,750.0,0.87
1982-07-15,UW.MBW..EHZ.M,-182.0,,3.0,148.0,0.142
1982-08-26,UW.MBW..EHZ.M,-168.0,,4.0,437.0,0.367
1982-11-01,UW.MBW..EHZ.M,-464.0,,3.0,204.0,0.207
1982-10-02,UW.MBW..EHZ.M,-544.0,,3.0,371.0,0.219
1982-09-01,UW.MBW..EHZ.M,0.0,323.0,2.0,140.0,0.166
1982-11-05,UW.MBW..EHZ.M,-346.0,,3.0,99.0,0.237
1982-09-02,UW.MBW..EHZ.M,-378.0,378.0,2.0,179.0,0.16
1982-09-23,UW.MBW..EHZ.M,-334.0,334.0,2.0,106.0,0.113
1982-09-29,UW.MBW..EHZ.M,-351.0,186.0,2.0,149.0,0.081
1982-08-16,UW.MBW..EHZ.M,-335.0,,5.0,349.0,0.589
1982-08-30,UW.MBW..EHZ.M,-377.0,,3.0,363.0,0.201
1982-09-15,UW.MBW..EHZ.M,-1654.0,,3.0,698.0,0.432
1982-08-18,UW.MBW..EHZ.M,-4.0,,4.0,176.0,0.477
1982-09-03,UW.MBW..EHZ.M,-389.0,,4.0,186.0,0.462
1982-08-15,UW.MBW..EHZ.M,0.0,132.0,2.0,122.0,0.118
1982-09-12,UW.MBW..EHZ.M,-351.0,222.0,2.0,133.0,0.059
1982-09-27,UW.MBW..EHZ.M,-330.0,330.0,2.0,136.0,0.13
1982-08-13,UW.MBW..EHZ.M,-401.0,,7.0,173.0,0.551
1982-09-06,UW.MBW..EHZ.M,-293.0,293.0,2.0,57.0,0.142
1982-08-17,UW.MBW..EHZ.M,-5.0,,3.0,187.0,0.201
1982-08-05,UW.MBW..EHZ.M,-1512.0,,7.0,1416.0,0.941
1982-09-07,UW.MBW..EHZ.M,-348.0,348.0,2.0,136.0,0.154
1982-09-21,UW.MBW..EHZ.M,-415.0,,6.0,184.0,0.3
1982-08-06,UW.MBW..EHZ.M,-765.0,,4.0,645.0,0.482
1982-10-01,UW.MBW..EHZ.M,-321.0,,4.0,91.0,0.219
1982-09-22,UW.MBW..EHZ.M,-528.0,,4.0,358.0,0.237
1982-09-14,UW.MBW..EHZ.M,-424.0,,4.0,221.0,0.252
1982-10-17,UW.MBW..EHZ.M,-370.0,,3.0,193.0,0.211
1982-08-11,UW.MBW..EHZ.M,-422.0,,5.0,287.0,0.423
1982-08-29,UW.MBW..EHZ.M,0.0,,3.0,109.0,0.296
1982-08-31,UW.MBW..EHZ.M,0.0,,5.0,136.0,0.255
1982-09-16,UW.MBW..EHZ.M,-398.0,398.0,2.0,206.0,0.16
1982-08-09,UW.MBW..EHZ.M,-881.0,,5.0,711.0,0.453
1982-09-24,UW.MBW..EHZ.M,-334.0,,3.0,102.0,0.134
1982-09-17,UW.MBW..EHZ.M,-356.0,,3.0,139.0,0.219
1982-08-20,UW.MBW..EHZ.M,-2048.0,,5.0,736.0,0.385
1982-08-27,UW.MBW..EHZ.M,0.0,237.0,2.0,100.0,0.112
1982-09-08,UW.MBW..EHZ.M,-504.0,,4.0,299.0,0.345
1982-09-20,UW.MBW..EHZ.M,-330.0,330.0,2.0,114.0,0.124
1982-09-26,UW.MBW..EHZ.M,-1634.0,,3.0,1147.0,0.385
1982-08-23,UW.MBW..EHZ.M,-82.0,,4.0,250.0,0.397
1982-09-28,UW.MBW..EHZ.M,-443.0,,4.0,225.0,0.183
1982-08-22,UW.MBW..EHZ.M,-152.0,,4.0,258.0,0.308
1982-10-18,UW.MBW..EHZ.M,-362.0,,6.0,139.0,0.489
1982-09-13,UW.MBW..EHZ.M,-373.0,,4.0,179.0,0.255
1982-09-10,UW.MBW..EHZ.M,-442.0,,4.0,231.0,0.341
1982-10-28,UW.MBW..EHZ.M,-349.0,,5.0,119.0,0.341
1982-11-13,UW.MBW..EHZ.M,-968.0,,5.0,812.0,0.58
1982-10-07,UW.MBW..EHZ.M,-320.0,320.0,2.0,107.0,0.107
1982-10-29,UW.MBW..EHZ.M,-334.0,,4.0,94.0,0.195
1982-10-13,UW.MBW..EHZ.M,-482.0,482.0,3.0,179.0,0.166
1982-10-31,UW.MBW..EHZ.M,-407.0,266.0,2.0,209.0,0.093
1982-10-08,UW.MBW..EHZ.M,-333.0,,3.0,114.0,0.148
1983-07-14,UW.MBW..EHZ.M,-414.0,,3.0,217.0,0.152
1982-12-14,UW.MBW..EHZ.M,-458.0,311.0,3.0,252.0,0.278
1982-11-10,UW.MBW..EHZ.M,-460.0,,3.0,169.0,0.152
1983-04-08,UW.MBW..EHZ.M,-389.0,,3.0,163.0,0.192
1982-12-31,UW.MBW..EHZ.M,-555.0,,4.0,300.0,0.388
1982-11-12,UW.MBW..EHZ.M,-829.0,,4.0,567.0,0.332
1982-10-14,UW.MBW..EHZ.M,-414.0,,6.0,200.0,0.681
1982-10-04,UW.MBW..EHZ.M,-332.0,332.0,2.0,107.0,0.124
1982-10-24,UW.MBW..EHZ.M,-355.0,,3.0,114.0,0.136
1983-01-03,UW.MBW..EHZ.M,-518.0,,3.0,231.0,0.201
1983-03-22,UW.MBW..EHZ.M,-482.0,482.0,2.0,298.0,0.278
1982-12-12,UW.MBW..EHZ.M,-524.0,524.0,2.0,192.0,0.047
1982-12-19,UW.MBW..EHZ.M,-533.0,533.0,2.0,248.0,0.113
1983-03-24,UW.MBW..EHZ.M,-1023.0,,3.0,1198.0,0.157
1982-11-03,UW.MBW..EHZ.M,-879.0,,4.0,415.0,0.189
1982-10-05,UW.MBW..EHZ.M,-308.0,308.0,2.0,70.0,0.071
1982-12-18,UW.MBW..EHZ.M,-802.0,895.0,2.0,447.0,0.127
1982-12-11,UW.MBW..EHZ.M,-514.0,,4.0,203.0,0.258
1982-12-23,UW.MBW..EHZ.M,-654.0,,5.0,382.0,0.255
1982-12-17,UW.MBW..EHZ.M,-531.0,,3.0,319.0,0.175
1983-05-13,UW.MBW..EHZ.M,-469.0,,5.0,202.0,0.37
1982-10-21,UW.MBW..EHZ.M,-553.0,,3.0,289.0,0.148
1982-10-15,UW.MBW..EHZ.M,-763.0,,6.0,500.0,0.513
1982-10-23,UW.MBW..EHZ.M,-446.0,,3.0,196.0,0.118
1982-10-12,UW.MBW..EHZ.M,-455.0,,3.0,260.0,0.423
1982-10-16,UW.MBW..EHZ.M,-1151.0,,4.0,638.0,0.279
1982-12-30,UW.MBW..EHZ.M,-616.0,,3.0,237.0,0.278
1982-11-08,UW.MBW..EHZ.M,-2048.0,2048.0,2.0,2.0,0.13
1982-11-09,UW.MBW..EHZ.M,-353.0,353.0,2.0,133.0,0.13
1982-11-11,UW.MBW..EHZ.M,-423.0,,3.0,196.0,0.169
1983-01-07,UW.MBW..EHZ.M,-365.0,365.0,2.0,101.0,0.053
1982-11-27,UW.MBW..EHZ.M,-517.0,,3.0,295.0,0.255
1982-12-01,UW.MBW..EHZ.M,-491.0,,3.0,218.0,0.136
1983-01-04,UW.MBW..EHZ.M,-376.0,376.0,2.0,85.0,0.101
1982-11-17,UW.MBW..EHZ.M,-371.0,,4.0,142.0,0.261
1982-11-14,UW.MBW..EHZ.M,-708.0,,6.0,515.0,0.701
1982-11-16,UW.MBW..EHZ.M,-482.0,,4.0,191.0,0.302
1982-12-09,UW.MBW..EHZ.M,-425.0,,3.0,173.0,0.169
1982-11-15,UW.MBW..EHZ.M,-453.0,,4.0,219.0,0.27
1983-01-31,UW.MBW..EHZ.M,-443.0,,5.0,212.0,0.328
1982-10-22,UW.MBW..EHZ.M,-625.0,577.0,3.0,305.0,0.169
1983-02-02,UW.MBW..EHZ.M,-488.0,,4.0,201.0,0.234
1983-02-09,UW.MBW..EHZ.M,-552.0,552.0,3.0,222.0,0.13
1983-01-28,UW.MBW..EHZ.M,-544.0,,4.0,209.0,0.343
1982-10-30,UW.MBW..EHZ.M,-301.0,301.0,2.0,48.0,0.189
1983-01-29,UW.MBW..EHZ.M,-349.0,,3.0,74.0,0.231
1983-03-28,UW.MBW..EHZ.M,-906.0,,5.0,434.0,0.397
1982-11-19,UW.MBW..EHZ.M,-358.0,,3.0,113.0,0.207
1982-11-30,UW.MBW..EHZ.M,-464.0,464.0,2.0,183.0,0.083
1983-02-15,UW.MBW..EHZ.M,-577.0,,3.0,310.0,0.134
1982-10-19,UW.MBW..EHZ.M,-689.0,,4.0,205.0,0.228
1983-02-11,UW.MBW..EHZ.M,-631.0,,7.0,378.0,0.456
1982-11-22,UW.MBW..EHZ.M,-408.0,408.0,2.0,151.0,0.112
1982-10-20,UW.MBW..EHZ.M,-788.0,,5.0,427.0,0.348
1983-05-16,UW.MBW..EHZ.M,-411.0,,5.0,164.0,0.459
